,ward,Ward Name,Ward Classification,Assembly Constituency,Zone (CE),total,students,singles,ITfamilies,SITfamilies,NonITfamily,retired,seniors
71,48,MUNESHWARANAGAR,Inner,Pulakeshinagar,East,27563,7.441134855,10.97122955,42.05637993,20.17559772,8.819794652,3.022167398,7.513695897
70,49,LINGARAJPURAM,Outer,Sarvagna Nagar,East,31490,3.982216577,7.154652271,37.40234995,22.94061607,11.66719594,4.576055891,12.27691331
109,50,BENNIGANAHALLI,Inner,C V Raman Nagar,East,36113,4.474842854,8.404175782,43.51895439,19.75465899,9.708415252,4.081632653,10.05732008
110,51,VIJINAPURA,Outer,K R Puram,Mahadevpura ,40309,4.708625865,8.189238135,41.81448312,20.95313702,10.24088913,4.172765387,9.920861346
107,52,KR PURAM,Outer,K R Puram,Mahadevpura ,38548,4.928919788,8.672304659,42.20193006,19.09048459,10.83584103,4.428245305,9.842274567
108,53,BASAVANAPURA,Outer,K R Puram,Mahadevpura ,42223,6.333041233,9.909291145,43.66103782,19.33543329,9.41666864,3.353622433,7.990905431
113,54,HOODI,Outer,Mahadevapura,Mahadevpura ,40669,6.582409206,10.31252305,46.68420664,17.94487202,8.030686764,3.179325776,7.265976542
114,55,DEVASANDRA,Outer,K R Puram,Mahadevpura ,26421,5.66973241,10.1434465,46.28893683,19.35203058,8.542447296,3.054388555,6.949017827
111,56,A NARAYANAPURA,Outer,K R Puram,Mahadevpura ,36281,5.046718668,8.144758965,43.48005843,20.07938039,9.511865715,3.946969488,9.790248339
112,57,C V RAMAN NAGAR,Inner,C V Raman Nagar,East,41584,4.576279338,7.731338977,45.44055406,19.52193151,9.388226241,3.900538669,9.441131204
101,58,NEW THIPPASANDRA,Inner,C V Raman Nagar,East,34723,5.085966074,7.879503499,38.96840711,19.84275552,10.36488783,4.365982202,13.49249777
102,59,MARUTI SEVANAGAR,Inner,Sarvagna Nagar,East,34717,6.852550624,7.394072068,34.29443788,20.93210819,11.70320016,4.487714952,14.33591612
126,60,SAGAYAPURAM,Inner,Pulakeshinagar,East,28522,6.629969848,9.34366454,39.5554309,20.86459575,10.07643223,3.814599257,9.715307482
125,61,SK GARDEN,Inner,Pulakeshinagar,East,26652,7.549152034,10.78343089,39.93696533,20.40372205,9.49647306,3.39561759,8.434639051
124,62,Ramaswamypalya,Inner,Shivajinagar,East,29135,5.580916424,8.069332418,38.62364853,20.92328814,10.81860305,4.273210915,11.71100051
123,63,Jayamahal,Inner,Shivajinagar,East,19327,5.500077612,7.88534175,34.41817147,20.38598851,12.85766027,5.163760542,13.78899984
122,64,RAJMAHAL GUTTAHALLI,Inner,Malleshwaram,West,26980,5.774647887,7.76130467,33.86582654,21.36397331,12.33506301,5.007412898,13.89177168
121,65,KADUMALLESWARA,Inner,Malleshwaram,West,31535,5.073727604,6.675122879,29.44981766,19.55604883,13.60393214,5.787220549,19.85413033
120,66,SUBRAMANYANAGAR,Inner,Malleshwaram,West,29834,5.604344037,7.45123014,31.86632701,22.00509486,12.44553194,4.947375478,15.68009653
